ref_id	voisins_m	voisins_f	
10	['ambitieux_ADJ', 'objectif_NOM', 'objectif_ADJ', 'ambition_NOM', 'ambitieuse_ADJ', 'emballant_VER', 'audacieux_ADJ', 'avoué_NOM', 'aristocrate_NOM', 'décadent_ADJ']	['audacieuse_ADJ', 'ambitieux_ADJ', 'exigeante_ADJ', 'aboutie_VER', 'brillante_ADJ', 'cohérente_ADJ', 'réussie_VER', 'séduisante_ADJ', 'intéressante_ADJ', 'rassembleuse_ADJ']	
11	['frère_NOM', 'ami_ADJ', 'copain_NOM', 'père_NOM', 'oncle_NOM', 'cousin_NOM', 'amie_NOM', 'collègue_NOM', 'amant_NOM', 'grand-père_NOM']	['copine_NOM', 'fille_NOM', 'amie_ADJ', 'mère_NOM', 'épouse_NOM', 'femme_NOM', 'adolescente_NOM', 'compagne_NOM', 'maman_NOM', 'ami_NOM']	
12	['amoureux_ADJ', 'salut_NOM', 'amants_NOM', 'fou_NOM', 'amant_NOM', 'séducteurs_ADJ', 'copains_NOM', 'wildfire_NAM', 'musico_NOM', 'ohhh_NOM']	['amoureuse_ADJ', 'amant_NOM', 'amante_NOM', 'divorcée_NOM', 'amie_NOM', 'femme_NOM', 'amour_NOM', 'délurée_ADJ', 'musicienne_NOM', 'mignonne_NOM']	
13	['anden_NOM', 'ex-premier_ADJ', 'ancien_ADJ', 'ex-pre-mier_ADJ', 'ex-premier_NOM', 'tex-premier_NAM', 'ex-chef_NOM', 'ex-chef_ADJ', 'anden_ADJ', 'ex-ministre_NOM']	['ancienne_ADJ', 'américaine_NOM', 'ex-première_ADJ', 'benazir_NAM', 'rivale_NOM', 'bhutto_NAM', 'aïeule_NOM', 'rescapée_VER', 'espionne_NOM', 'devenue_VER']	
14	['anglais_ADJ', 'français_NOM', 'groupe/privé_ADJ', 'prononciation_NOM', 'arabe_NOM', 'espagnol_NOM', 'inuktitut_NOM', 'm.ed_NAM', 'anglais_NAM', 'toefl_NAM']	['anglaise_ADJ', '-famous_ADJ', 'famous_NOM', 'i--famous_NOM', 's.-t.f_ADJ', 'anglais_ADJ', 'portugaise_ADJ', 'italienne_NOM', 'players-_NAM', '-cinéplex_NAM']	
15	['animateur_ADJ', 'animateur-vedette_NOM', 'présentateur_NOM', 'humoriste_ADJ', 'humoriste_NOM', 'animatrice_NOM', 'comédien_NOM', 'ex-animateur_NOM', 'intervieweur_NOM', 'émission_NOM']	['animatrice_ADJ', 'animateur_NOM', 'écrivaine_NOM', 'émission_NOM', 'comédienne_NOM', 'bazzo_NAM', 'présentatrice_NOM', 'radio-canada_NAM', 'journaliste_NOM', 'auteure_NOM']	
16	['anormal_ADJ', 'delilah_NAM', 'pis._ABR', 'trouble_VER', 'gilmore_ADJ', 'skyland_NAM', 'cybersix_NAM', 'd-stroy_NAM', 'rien_ADV', 'grand-chose_NOM']	['aberrante_ADJ', 'inquiétante_ADJ', 'incontrôlée_ADJ', 'inflammatoire_ADJ', 'exogène_ADJ', 'abdominale_ADJ', 'inhabituelle_ADJ', 'bénigne_ADJ', 'myéline_NOM', 'excessive_ADJ']	
17	['nerveux_ADJ', 'dépressifs_ADJ', 'impulsifs_ADJ', 'agressifs_ADJ', 'angoissés_VER', 'craintifs_ADJ', 'inquiets_ADJ', 'déprimés_VER', 'méfiants_ADJ', 'émotifs_ADJ']	['émerveillée_VER', 'craintive_ADJ', 'traumatisée_VER', 'angoissée_VER', 'frustrée_VER', 'éplorée_ADJ', 'effrayée_VER', 'contrariée_VER', 'désorganisée_VER', 'maltraitée_VER']	
18	['ami_NOM', 'adjoint_NOM', 'acolyte_NOM', 'assistant_VER', 'mentor_NOM', 'oncle_NOM', 'frère_NOM', 'adaptateur_NOM', 'successeur_NOM', 'ingénieur_NOM']	['orthophoniste_NOM', 'recherchiste_NOM', 'stagiaire_NOM', 'infirmière_NOM', 'technicienne_NOM', 'tutrice_NOM', 'bachelière_NOM', 'eva_NAM', 'professeure_ADJ', 'inès_NAM']	
19	['ueyton_NAM', 'lleyton_NAM', 'roddick_NAM', 'hewitt_NAM', 'ginepri_NAM', 'federer_NAM', 'américain_NOM', 'kuerten_NAM', 'schalken_NAM', 'australien_ADJ']	['australienne_ADJ', 'autrichienne_NOM', 'américaine_NOM', 'hilde_NAM', 'meissnitzer_NAM', 'néo-zélandaise_ADJ', 'arndt_NAM', 'âgée_ADJ', 'japonaise_NOM', 'sud-africaine_NOM']	
20	['écrivain_NOM', 'romancier_NOM', 'essayiste_NOM', 'fauteur_NOM', 'auteure_NOM', 'coauteur_NOM', 'historien_NOM', 'réalisateur_NOM', 'dramaturge_NOM', 'scénariste_NOM']	['écrivaine_NOM', 'romancière_NOM', 'écriture_NOM', 'au-teure_NOM', 'tauteure_NAM', 'auteure_VER', 'auleure_NOM', 'massicotle_NAM', 'auteu-re_NOM', 'sylvie_NAM']	
21	['avocats_NOM', 'criminaliste_NOM', 'kuebler_NAM', 'avocate_NOM', 'procureur_NOM', 'juriste_NOM', 'julius_NAM', 'm1_NAM', 'accusé_NOM', 'danson_NAM']	['avocat_NOM', 'procureure_NOM', 'représentante_NOM', 'adjointe_VER', 'liquidatrice_ADJ', 'trignac_NAM', 'avocats_NOM', 'deny_NAM', 'avocates_NOM', 'susan_NAM']	
22	['rusé_ADJ', 'loquace_ADJ', 'volubile_ADJ', 'contemplatif_ADJ', 'avare_ADJ', 'cabotin_ADJ', 'emphatique_ADJ', 'maladroit_ADJ', 'longuet_ADJ', 'insolent_ADJ']	['prétentieuse_ADJ', 'ennuyeuse_ADJ', 'invariable_ADJ', 'agaçante_ADJ', 'incisive_ADJ', 'pesante_ADJ', 'emphatique_ADJ', 'désorganisée_VER', 'mièvre_ADJ', 'redondante_ADJ']	
23	['bienheureux_ADJ', 'canonisé_VER', 'béatifié_VER', 'dieu_NOM', 'dugua_NAM', 'médicis_NAM', 'perroquet_NOM', 'dieux_NOM', 'falar-deau_NAM', 'lénine_NOM']	['exaltée_VER', 'aveuglante_ADJ', 'bénie_ADJ', 'teresa_VER', 'fuyante_ADJ', 'religieuse_NOM', 'orgueilleuse_ADJ', 'bienfaisante_ADJ', 'grouillante_ADJ', 'triomphante_ADJ']	
24	['tribu.com_NAM', 'sournois_ADJ', 'tva_ABR', 'nikita_NOM', 'blond_ADJ', 'sucré-salé_NAM', 'labrèche_NAM', 'emma_NAM', 'nikita_VER', 'piment_NOM']	['blonde_ADJ', 'fille_NOM', 'femme_NOM', 'copine_NOM', 'maman_NOM', 'jolie_ADJ', 'rousse_NOM', 'mère_NOM', 'amie_NOM', 'compagne_NOM']	
25	['roi_NOM', 'enchaîné_ADJ', 'orphelin_ADJ', 'dysfonctionnel_ADJ', 'mort-né_ADJ', 'feydeau_NAM', 'hasardeux_ADJ', 'risqué_VER', 'cygne_NOM', 'vilain_NOM']	['redondante_ADJ', 'têtue_ADJ', 'amusante_ADJ', 'simpliste_ADJ', 'banale_ADJ', 'insatisfaisante_ADJ', 'ennuyante_ADJ', 'fastidieuse_ADJ', 'idiote_ADJ', 'caricaturale_ADJ']	
26	['provençal_ADJ', 'chardon_NOM', 'français_ADJ', 'wapiti_NOM', 'parmentier_NOM', 'écossais_ADJ', 'bretonne_ADJ', 'poitou_NAM', 'cassoulet_NOM', 'marchand_ADJ']	['celtique_ADJ', 'marseillaise_ADJ', 'cajun_ADJ', 'provençale_ADJ', 'rôtie_VER', 'amérindienne_NOM', 'bordelaise_ADJ', 'antillaise_ADJ', 'normande_ADJ', 'maghrébine_ADJ']	
27	['blanc_ADJ', 'châtain_NOM', 'argenté_ADJ', 'noir_NOM', 'foncé_ADJ', 'mauve_NOM', 'brun_ADJ', 'gris_ADJ', 'noir_ADJ', 'pourpre_NOM']	['mtlaise_NOM', 'châtain_NOM', 'châtaine_NOM', 'brunette_NOM', 'rousse_ADJ', 'brune_ADJ', 'épicurienne_NOM', 'mtiaise_NAM', 'mince_INT', '40alne_ADJ']	
28	['cadet_ADJ', 'fils_NOM', 'père_NOM', 'aîné_NOM', 'frère_NOM', 'garçon_NOM', 'grand-père_NOM', 'montoya_NAM', 'petit-fils_NOM', 'âgé_ADJ']	['aînée_NOM', 'cadette_ADJ', 'fille_NOM', 'mère_NOM', 'adolescente_NOM', 'éplorée_ADJ', 'âgée_ADJ', 'serena_NAM', 'aînée_ADJ', 'navratilova_NAM']	
29	['andalou_ADJ', 'vallonné_VER', 'chalel_NOM', '3c.c._ABR', 'mitais_VER', 'pisc_ADJ', 'italo-provençale_ADJ', 'authentique_ADJ', 'décontracté_ADJ', '5cc_NAM']	['entaillée_VER', 'perchée_VER', 'onctueuse_ADJ', 'sablonneuse_ADJ', 'goûteuse_ADJ', 'luxuriante_ADJ', 'longe_NOM', 'provençale_ADJ', 'rocheuse_ADJ', 'lardons_NOM']	
30	['tricolore_ADJ', 'devils_NOM', 'bruins_NAM', 'lemenu_NAM', 'koivu_NAM', 'lightning_NOM', 'halak_NAM', 'flyers_NOM', 'sabres_NOM', 'leafs_ADJ']	['québécoise_NOM', 'canadienne_ADJ', 'montréalaise_NOM', 'américaine_NOM', 'presse_VER', 'ontarienne_NOM', 'curl_NAM', 'suédoise_NOM', 'url_ABR', 'nadienne_ADJ']	
31	['agneau_NOM', 'magret_NOM', 'jambon_NOM', 'poêlé_VER', 'rôti_NOM', 'rôti_VER', 'braisé_VER', 'foie_NOM', 'veau_NOM', 'pleurotes_NOM']	['cane_VER', 'celte_NOM', 'chameo_NAM', 'canelr_NAM', 'l-q_NAM', 'caneir_NAM', 'centunono_NAM', 'eerie_NOM', 'l-q_NOM', '116500_NUM']	
32	['candidate_NOM', 'investiture_NOM', 'parti_NOM', 'candidats_NOM', 'député_NOM', 'ex-candidat_NOM', 'candidat-vedette_NOM', 'chefferie_NOM', 'démocrate_ADJ', 'colistier_NOM']	['candidat_NOM', 'députée_VER', 'ex-candidate_NOM', 'sénatrice_NOM', 'candidates_NOM', 'candidats_NOM', 'cheffe_NOM', 'libérale_ADJ', 'vice-présidence_NOM', 'libérale_NOM']	
33	['incestueux_ADJ', 'sinueux_ADJ', 'abrupts_ADJ', 'insouciant_ADJ', 'abruptes_ADJ', 'rusé_ADJ', 'tordus_VER', 'embruns_NOM', 'inhospitalier_ADJ', 'sablonneux_ADJ']	['glaciale_ADJ', 'flamboyante_ADJ', 'ennuyante_ADJ', 'névrosée_ADJ', 'surannée_ADJ', 'étrange_ADJ', 'décadente_ADJ', 'têtue_ADJ', 'attachante_ADJ', 'ennuyeuse_ADJ']	
34	['vice-champion_NOM', 'vainqueur_NOM', 'ex-champion_NOM', 'championne_NOM', 'champions_NOM', 'recordman_NOM', 'septuple_ADJ', 'championnat_NOM', 'sextuple_ADJ', 'wbo_NAM']	['médaillée_VER', 'tenante_NOM', 'vice-champion_NOM', 'favorite_NOM', 'joueuse_NOM', 'championnats_NOM', 'gagnante_NOM', 'felicien_NAM', 'champion_NOM', 'friesinger_NAM']	
35	['guitariste_NOM', 'musicien_NOM', 'chanteuse_NOM', 'comédien_NOM', 'batteur_NOM', 'rappeur_NOM', 'bassiste_NOM', 'auteur-compositeur-interprète_NOM', 'crooner_NOM', 'compositeur_NOM']	['comédienne_NOM', 'chanteur_NOM', 'actrice_NOM', 'chanson_NOM', 'danseuse_NOM', 'choriste_NOM', 'guitariste_NOM', 'chanteuses_NOM', 'romancière_NOM', 'cantatrice_NOM']	
36	['chien_NOM', 'lapin_NOM', 'souris_NOM', 'pelage_NOM', 'soulier_NOM', 'bébé_NOM', 'singe_NOM', 'loup_NOM', 'papa_NOM', 'cochon_NOM']	['fille_NOM', 'poupée_NOM', 'copine_NOM', 'voisine_NOM', 'maman_NOM', 'belle_NOM', 'pyjama_NOM', 'peau_NOM', 'blonde_NOM', 'fermière_NOM']	
37	['chercheur_ADJ', 'chercheuse_NOM', 'professeur_NOM', 'biologiste_NOM', 'biochimiste_NOM', 'politologue_NOM', 'géologue_NOM', 'microbiologiste_NOM', 'neurologue_NOM', 'physicien_NOM']	['chercheur_NOM', 'chercheure_NOM', 'chercheuse_ADJ', 'profes-seure_NOM', 'pro-fesseure_NOM', 'diététiste_NOM', 'épidémiologiste_NOM', 'biochimiste_NOM', 'docteure_NOM', 'bartha_NAM']	
38	['verrue_NOM', 'chien_NOM', 'troie_NAM', 'enfourcher_VER', 'âne_NOM', 'sabot_NOM', 'pelage_NOM', 'bonnet_NOM', 'dompteur_NOM', 'cordage_NOM']	['esseulée_ADJ', 'guêpe_NOM', 'orpheline_NOM', 'trompe_NOM', 'fille_NOM', 'touffe_NOM', 'morsure_NOM', 'paupière_NOM', 'girafe_NOM', 'brouette_NOM']	
39	['chat_NOM', 'cheval_NOM', 'loup_NOM', 'chiens_NOM', 'bébé_NOM', 'père_NOM', 'animal_NOM', 'enfant_NOM', 'lapin_NOM', 'garçon_NOM']	['folle_NOM', 'crotte_NOM', 'fille_NOM', 'maîtresse_NOM', 'lutin_NOM', 'chien_NOM', 'bagnole_NOM', 'putain_NOM', 'bète_NOM', 'maman_NOM']	
40	['chinois_ADJ', 'vietnamiens_NOM', 'russes_NAM', 'coréens_NOM', 'japonais_NOM', 'africains_NOM', 'européens_NOM', 'italiens_NOM', 'tibétains_NOM', 'asiatiques_NOM']	['chinoise_ADJ', 'japonaise_NOM', 'chinoises_NOM', 'jie_NAM', 'wang_NAM', 'zheng_NAM', 'meng_NAM', 'zhang_NAM', 'yang_NAM', 'chinois_ADJ']	
41	['médecin_NOM', 'cardiologue_NOM', 'oncologue_NOM', 'anesthésiste_NOM', 'psychiatre_NOM', 'docteur_NOM', 'chercheur_NOM', 'dr_NAM', 'pédiatre_NOM', 'radiologiste_NOM']	['séropositive_ADJ', 'patiente_NOM', 'infirmière_NOM', 'chirurgien_NOM', 'médecin_NOM', 'pédiatrique_ADJ', 'patientes_NOM', 'clinique_NOM', 'séropositivité_NOM', 'sainte-justine_NAM']	
42	['citadin_ADJ', 'voyageur_NOM', 'grégaire_ADJ', 'solitaire_ADJ', 'cyclotourisme_NOM', 'omniscient_ADJ', 'décontracté_ADJ', 'rêveur_NOM', 'célibataire_NOM', 'émerveillé_VER']	['multiculturelle_NOM', 'épanouie_VER', 'bourgeoise_ADJ', 'proprette_ADJ', 'rationaliste_ADJ', 'naive_ADJ', 'recluse_ADJ', 'idéalisation_NOM', 'décadente_ADJ', 'joyeuse_ADJ']	
43	['contribuable_NOM', 'individu_NOM', 'électeur_NOM', 'militant_ADJ', 'peuple_NOM', 'politicien_NOM', 'citoyens_NOM', 'consommateur_NOM', 'immigrant_NOM', 'fonctionnaire_NOM']	['participative_ADJ', 'démocratie_NOM', 'solidaire_ADJ', 'militante_ADJ', 'citoyen_NOM', 'democratic_NOM', 'inclusive_ADJ', 'démocratique_ADJ', 'féministe_ADJ', 'civique_ADJ']	
44	['passager_ADJ', 'navire_NOM', 'clandestin_ADJ', 'prisonnier_NOM', 'évadé_VER', 'voleur_NOM', 'espion_NOM', 'matelot_NOM', 'cadavre_NOM', 'embouti_VER']	['clandestin_ADJ', 'eta_NOM', 'islamiste_ADJ', 'illégale_ADJ', 'immigration_NOM', 'terroriste_ADJ', 'radicale_ADJ', 'clandestins_ADJ', 'basque_ADJ', 'émigration_NOM']	
45	['consommateur_NOM', 'fournisseur_NOM', 'acheteur_NOM', 'clients_NOM', 'employeur_NOM', 'concurrent_NOM', 'cliente_NOM', 'utilisateur_NOM', 'patient_NOM', 'employé_NOM']	['client_NOM', 'copine_NOM', 'employée_NOM', 'mère_NOM', 'patiente_NOM', 'plaignante_NOM', 'caissière_NOM', 'homolka_NAM', 'passagère_NOM', 'amie_NOM']	
46	['poisson_NOM', 'lapin_NOM', 'wapiti_NOM', 'ragoût_NOM', 'chèvre_NOM', 'chocolat_NOM', 'canard_NOM', 'tartare_NOM', 'rôti_VER', 'veau_NOM']	['fermière_NOM', 'chou-fleur_NOM', 'mayonnaise_ADJ', 'boulette_NOM', 'baronne_NOM', 'cuite_NOM', 'nourrice_NOM', 'friandise_NOM', 'grillée_ADJ', 'longe_NOM']	
47	['papa_NOM', 'maman_NOM', 'garagiste_NOM', 'oncle_NOM', 'vieil_ADJ', 'biblio_NOM', 'psy_NOM', 'tailleur_NOM', 'cordonnier_NOM', 'barbier_NOM']	['servante_NOM', 'caissière_NOM', 'esseulée_ADJ', 'couturière_NOM', 'serveuse_NOM', 'mari_NOM', 'starlette_NOM', 'prostituée_VER', 'maîtresse_NOM', 'maman_NOM']	
48	['collaboratrice_NOM', 'devoir_NOM', '-le_ADJ', 'source_NOM', 'archambault^_NAM', '¦_ADJ', 'www.ledevoir.com_NOM', 'correspondant_NOM', 'cinema_NAM', 'vitrine_NOM']	['collaborateur_NOM', 'devoir_NOM', '-le_ADJ', '¦_ADJ', 'ruiz_NAM', 'carolyne_NAM', '277-7558_NUM', 'www.ledevoir.com_NOM', "det'oir_NOM", '\\_ADJ']	
49	['criminel_NOM', 'prisonnier_NOM', 'soldat_NOM', 'terroriste_NOM', 'détenu_NOM', 'combattant_VER', 'militant_ADJ', 'rebelle_NOM', 'taliban_NOM', 'militant_VER']	['militante_ADJ', 'féministe_NOM', 'farhoud_NAM', 'têtue_ADJ', 'pasionaria_NOM', 'féministe_ADJ', 'humanité_NOM', 'battante_ADJ', 'comédienne_NOM', 'réalisatrice_NOM']	
50	['complice_NOM', 'compagne_NOM', 'amant_NOM', 'passionné_VER', 'complice_ADJ', 'n-ftim_NOM', '55-65_NUM', 'aimant_VER', 'n-fam_NOM', '55-62_NUM']	['compagnon_NOM', 'copine_NOM', 'amie_NOM', 'amie_ADJ', 'femme_NOM', 'complice_NOM', 'épouse_NOM', 'conjointe_NOM', 'amant_NOM', 'blonde_NOM']	
51	['musicien_NOM', 'pianiste_NOM', 'violoniste_NOM', 'guitariste_NOM', 'sculpteur_NOM', 'clarinettiste_NOM', 'saxophoniste_NOM', 'arrangeur_NOM', 'flûtiste_NOM', 'poète_NOM']	['chanteuse_NOM', 'harpiste_NOM', 'yaroshevskaya_NAM', 'maboungou_NAM', 'saariaho_NAM', 'conteuse_NOM', 'danseuse_NOM', 'comédienne_NOM', 'soprano_NOM', 'keersmaeker_NAM']	
52	['créateur_NOM', 'designer_NOM', 'fabricant_NOM', 'scénographe_NOM', 'développeur_NOM', 'architecte_NOM', 'metteur_NOM', 'conceptrice_NOM', 'éclairagiste_NOM', 'cofondateur_NOM']	['directrice_NOM', 'créatrice_NOM', 'cofondatrice_NOM', 'eclairages_NAM', 'productrice_ADJ', 'compositrice_NOM', 'fondatrice_NOM', 'metteure_NOM', 'bematchez_NAM', 'morgenthaler_NAM']	
53	['passager_ADJ', 'volant_NOM', 'automobiliste_NOM', 'voiture_NOM', 'pare-brise_NOM', 'chauffeur_NOM', 'véhicule_NOM', 'conducteurs_NOM', 'policier_NOM', 'pilote_NOM']	['fourgonnette_NOM', 'embouti_VER', 'fillette_NOM', 'policière_NOM', 'passagère_NOM', 'femme_NOM', 'camionnette_NOM', 'policier_NOM', 'voiture_NOM', 'banalisée_VER']	
54	['tudors_NAM', 'wordgirl_NAM', 'etaik_NOM', 'artattack_NAM', '©talk_NAM', 'boxerock_NAM', 'worldfocus_NAM', 'tonight_NOM', 'inews_NOM', 'ictv_NAM']	['amie_NOM', 'éplorée_ADJ', 'névrosée_ADJ', 'acariâtre_ADJ', 'baronne_NOM', 'fille_NOM', 'mère_NOM', 'délurée_ADJ', 'nourrice_NOM', 'manipulatrice_ADJ']	
55	['conjointe_NOM', 'ex-conjoint_NOM', 'époux_NOM', 'épouse_NOM', 'mari_NOM', 'beau-père_NOM', 'mère_NOM', 'ex-épouse_NOM', 'frère_NOM', 'handicapé_ADJ']	['épouse_NOM', 'conjoint_NOM', 'mère_NOM', 'fille_NOM', 'époux_NOM', 'belle-mère_NOM', 'nièce_NOM', 'filleule_NOM', 'belle-fille_NOM', 'petite-fille_NOM']	
56	['conservatrice_NOM', 'libéral_NOM', 'conservateur_ADJ', 'député_NOM', 'réformiste_NOM', 'conservatrice_ADJ', 'progressiste-conservateur_NOM', 'liberal_NOM', 'libéral_ADJ', 'organisateur_NOM']	['conservateur_NOM', 'conservatrice_ADJ', 'bondil_NAM', 'directrice_NOM', 'historienne_NOM', 'mbam_NAM', 'organisatrice_NOM', 'musée_NOM', 'députée_VER', 'rédactrice_NOM']	
57	['consommateurs_NOM', 'client_NOM', 'contribuable_NOM', 'investisseur_NOM', 'téléspectateur_NOM', 'utilisateur_NOM', 'citoyen_NOM', 'lecteur_NOM', 'consonunateurs_NOM', 'internaute_NOM']	['assoiffée_VER', 'exportatrice_ADJ', 'dépendante_ADJ', 'gaspillée_VER', 'angoissée_VER', 'réceptive_ADJ', 'mélangée_VER', 'sensibilisée_VER', 'potasse_NOM', 'consommatrices_NOM']	
58	['comédien_NOM', 'musicien_NOM', 'romancier_NOM', 'écrivain_NOM', 'poète_NOM', 'raconteur_NOM', 'marionnettiste_NOM', 'conteurs_NOM', 'guitariste_NOM', 'poète_ADJ']	['danseuse_NOM', 'comédienne_NOM', 'poétesse_NOM', 'yaroshevskaya_NAM', 'gouaille_NOM', 'romancière_NOM', 'chanteuse_NOM', 'écrivaine_NOM', 'compositrice_NOM', 'choriste_NOM']	
59	['airlines_NOM', 'airlines_NAM', 'haute-vitesse_NOM', 'copieux_ADJ', 'nord-américain_ADJ', 'chautauqua_NAM', 'airlines_ADJ', 'northwest_NAM', 'shuttle_NAM', 'skyteam_NAM']	['nord-américaine_ADJ', 'latine_ADJ', 'intégration_NOM', 'interprovinciales_ADJ', 'échede_NOM', 'ex-union_NOM', 'chine_NAM', 'europe_NAM', 'environnementale_ADJ', 'supranationale_ADJ']	
60	['frère_NOM', 'ami_NOM', 'père_NOM', 'camarade_NOM', 'oncle_NOM', 'garçon_NOM', 'papa_NOM', 'grand-père_NOM', 'cousin_NOM', 'amie_NOM']	['amie_NOM', 'mère_NOM', 'maman_NOM', 'fille_NOM', 'voisine_NOM', 'blonde_NOM', 'compagne_NOM', 'amie_ADJ', 'fide_NOM', 'grand-mère_NOM']	
61	['journaliste_NOM', 'correspondant_VER', 'correspondante_NOM', 'chroniqueur_NOM', 'cameraman_NOM', 'diplomate_NOM', 'caméraman_NOM', 'collaborateur_NOM', 'commentateur_NOM', 'tafp_NAM']	['correspondant_NOM', 'journaliste_NOM', 'chroniqueuse_NOM', 'écrivaine_NOM', 'correspondant_VER', 'romancière_NOM', 'déléguée_NOM', 'comédienne_NOM', 'hélène_NAM', 'poétesse_NOM']	
62	['audacieux_ADJ', 'orgueilleux_ADJ', 'lucide_ADJ', 'superstitieux_ADJ', 'valeureux_ADJ', 'mesquin_ADJ', 'exigeant_ADJ', 'héroïques_ADJ', 'rigoureux_ADJ', 'courageuse_ADJ']	['audacieuse_ADJ', 'têtue_ADJ', 'émouvante_ADJ', 'exigeante_ADJ', 'lucide_ADJ', 'douloureuse_ADJ', 'pieuse_ADJ', 'brillante_ADJ', 'caustique_ADJ', 'désespérée_ADJ']	
63	['pilote_NOM', 'phonak_NAM', 'coureurs_NOM', 'cycliste_NOM', 'équipier_NOM', 'sprinter_NOM', 'bettini_NAM', 'cycliste_ADJ', 'sprinteur_NOM', 'vinokourov_NAM']	['patineuse_NOM', 'skieuse_NOM', 'felicien_NAM', 'plongeuse_NOM', 'championne_NOM', 'nageuse_NOM', 'athlète_NOM', 'perdita_NAM', 'muenzer_NAM', 'skieur_NOM']	
